route_index_global;name;zona_meteo;zone;difficulty;terreny;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
108;Refugi de Juclà;zona_nord;Vall d'Incles i Siscaró;CHALLENGING;COMPLEX;6.0km;556m;N+S;Pàrquing de la vall d'Incles, a 1.750m;Refugi de Juclà, a 2.310m;1750;2310
109;Refugi de l'Illa pel Pas de Ríbuls;zona_nord;Grau Roig;COMPLEX;EXIGENT;12.1km;855m;N+S+NE+W;Aparcament de Grau Roig, a 2.100 m;Refugi de l'Illa, a 2.488 m;2100;2677
110;Refugi de la Vall del Riu;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;3.1km;332m;S+SW;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Refugi de la Vall del Riu 2160 m;1825;2160
111;Refugi de Montmalús;zona_nord;Grau Roig;CHALLENGING;COMPLEX;4.6km;598m;N+S;Aparcament de Grau Roig, a 2.100 m;Refugi de Montmalús, a 2.445 m;2100;2677
112;Refugi del Comapedrosa;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;3.8km;697m;N+NE+E;Edificis de Prats Sobirans, a 1.560 m;Refugi del Comapedrosa, a 2265 m;1560;2265
113;Refugi del Pla de l'Estany;zona_nord;Valls del Comapedrosa;CHALLENGING;COMPLEX;3.4km;483m;S+SW+E;Edificis de Prats Sobirans, a 1.560 m;Refugi del Pla de l’Estany, a 2.049 m;1560;2049
114;Refugi dels Agols;zona_centre;Cortals d'Encamp;SIMPLE;SIMPLE;3.5km;606m;N;Borda de les Pardines, a 1.618 m;Refugi dels Agols, a 2.231 m;1618;2231
115;Roca Entravessada;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;8.0km;1352m;E+SE+NE;Edificis de Prats Sobirans, a 1.560 m;Roca Entravessada, a 2928 m;1560;2928
116;Setúria;zona_centre;Pal i Coll de la Botella;SIMPLE;SIMPLE;2.9km;484m;N;Aparcarem el vehicle al pàrquing del Coll de la Botella i baixarem esquiant fins a l’embarcament del telecadira de Setúria, a 1.900 m;Pic del Cubil, a 2.358 m;1900;2358
117;Travessa de la Rabassa a Grau Roig;zona_sud;La Rabassa;COMPLEX;EXIGENT;23.6km;1676m;S+N+W+E;Aparcament de Naturlàndia, a 2040 m;Aparcament de Grau Roig, a 2.108 m;2040;2677
118;Travessa de Rialb al Castellar;zona_nord;Vall de Rialb;CHALLENGING;COMPLEX;7.1km;731m;N+NE+W;Pàrquing de Sorteny, a 1780m;Pont del Castellar, a 1.854m;1780;2600
119;Volta al Pic del Maià - Port Dret - Pas de les Vaques - Incles;zona_nord;Envalira;CHALLENGING;COMPLEX;12.3km;316m;N+S;Port d'Envalira, a 2.408m;Pàrquing de la vall d'Incles, a 1.750m;2408;2700
120;Volta Clots de Massat - Clots de l'Ós - Soldeu;zona_nord;Envalira;CHALLENGING;COMPLEX;6.0km;579m;S+W;Bordes d’Envalira, a 2.010 m;Soldeu, a 1830 m;1830;2700
