route_index_global;name;zone;difficulty;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
108;Refugi de Juclà;Vall d'Incles i Siscaró;CHALLENGING;6.0km;556m;N+S;Pàrquing de la vall d'Incles, a 1.750m;Refugi de Juclà, a 2.310m;1750;2310
109;Refugi de l'Illa pel Pas de Ríbuls;Grau Roig;COMPLEX;12.1km;855m;N+S+NE+O;Aparcament de Grau Roig, a 2.100 m;Refugi de l'Illa, a 2.488 m;2100;2488
110;Refugi de la Vall del Riu;Montaup i Vall del Riu;COMPLEX;3.1km;332m;S+SO;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Refugi de la Vall del Riu 2160 m;1825;2160
111;Refugi de Montmalús;Grau Roig;CHALLENGING;4.6km;598m;N+S;Aparcament de Grau Roig, a 2.100 m;Refugi de Montmalús, a 2.445 m;2100;2445
112;Refugi del Comapedrosa;Valls del Comapedrosa;COMPLEX;3.8km;697m;N+NE+E;Edificis de Prats Sobirans, a 1.560 m;Refugi del Comapedrosa, a 2265 m;1560;2265
113;Refugi del Pla de l'Estany;Valls del Comapedrosa;CHALLENGING;3.4km;483m;S+SO+E;Edificis de Prats Sobirans, a 1.560 m;Refugi del Pla de l’Estany, a 2.049 m;1560;2049
114;Refugi dels Agols;Cortals d'Encamp;SIMPLE;3.5km;606m;N;Borda de les Pardines, a 1.618 m;Refugi dels Agols, a 2.231 m;1618;2231
115;Roca Entravessada;Valls del Comapedrosa;COMPLEX;8.0km;1352m;E+SE+NE;Edificis de Prats Sobirans, a 1.560 m;Roca Entravessada, a 2928 m;1560;2928
116;Setúria;Pal i Coll de la Botella;SIMPLE;2.9km;484m;N;Aparcarem el vehicle al pàrquing del Coll de la Botella i baixarem esquiant fins a l’embarcament del telecadira de Setúria, a 1.900 m;Pic del Cubil, a 2.358 m;1900;2358
117;Travessa de la Rabassa a Grau Roig;La Rabassa;COMPLEX;23.6km;1676m;S+N+O+E;Aparcament de Naturlàndia, a 2040 m;Aparcament de Grau Roig, a 2.108 m;2040;2108
118;Travessa de Rialb al Castellar;Vall de Rialb;CHALLENGING;7.1km;731m;N+NE+O;Pàrquing de Sorteny, a 1780m;Pont del Castellar, a 1.854m;1780;1854
119;Volta al Pic del Maià - Port Dret - Pas de les Vaques - Incles;Envalira;CHALLENGING;12.3km;316m;N+S;Port d'Envalira, a 2.408m;Pàrquing de la vall d'Incles, a 1.750m;2408;1750
120;Volta Clots de Massat - Clots de l'Ós - Soldeu;Envalira;CHALLENGING;6.0km;579m;S+O;Bordes d’Envalira, a 2.010 m;Soldeu, a 1830 m;2010;1830
